City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto deseado,-47.7503,-65.8938,10.1,66,92,5.33,AR,1725243552
83,jayapura,-2.5333,140.7,29.66,68,90,2.1,ID,1725243711
84,labytnangi,66.6572,66.4183,8.39,88,100,5.31,RU,1725243711
85,nemuro,43.3236,145.575,19.15,99,100,3.21,JP,1725243547
86,arroyo,41.6096,-4.7969,18.41,87,0,3.6,ES,1725243711
87,popondetta,-8.7537,148.2534,30.67,59,98,2.03,PG,1725243711
88,manuguru,17.981,80.7547,23.12,98,100,2.29,IN,1725243711
89,necochea,-38.5473,-58.7368,8.33,91,97,5.13,AR,1725243711
90,ilulissat,69.2167,-51.1,2.01,87,100,0.0,GL,1725243711
91,badger,64.8,-147.5333,14.99,60,0,1.54,US,1725243712
92,pampierstad,-27.7832,24.6877,13.49,49,0,2.8,ZA,1725243712
93,karratha,-20.7377,116.8463,31.81,20,0,8.79,AU,1725243712
94,urangan,-25.3,152.9,21.39,79,0,8.03,AU,1725243712
95,kailua-kona,19.6406,-155.9956,28.32,80,5,1.34,US,1725243712
96,punta arenas,-53.15,-70.9167,5.06,70,20,8.23,CL,1725243712
97,nieves,15.3274,120.9485,25.64,92,100,1.33,PH,1725243712
98,port elizabeth,-33.918,25.5701,10.16,93,0,2.06,ZA,1725243712
99,liwale,-9.7667,37.9333,19.95,63,9,4.24,TZ,1725243712
100,cadale,2.7603,46.3222,24.86,79,41,6.95,SO,1725243712
101,leua,48.2156,18.6071,19.7,58,1,2.87,SK,1725243712
102,chernyshevskiy,63.0128,112.4714,13.96,79,26,0.99,RU,1725243712
103,vila franca do campo,37.7167,-25.4333,22.23,64,2,3.73,PT,1725243712
104,jalor,25.35,72.6167,28.63,69,100,2.12,IN,1725243713
105,flying fish cove,-10.4217,105.6791,26.82,78,75,5.66,CX,1725243713
106,remire-montjoly,4.9167,-52.2667,27.02,89,0,0.51,GF,1725243503
107,dryden,49.7833,-92.7503,13.16,71,0,1.03,CA,1725243713
108,hasaki,35.7333,140.8333,27.7,82,84,10.29,JP,1725243713
109,lerik,38.7726,48.4128,16.75,53,0,1.21,AZ,1725243713
110,avarua,-21.2078,-159.775,21.03,94,75,8.75,CK,1725243713
111,guines,50.8671,1.8703,18.49,94,21,3.36,FR,1725243713
112,muisne,0.6,-80.0333,23.45,84,93,3.51,EC,1725243713
113,kenai,60.5544,-151.2583,17.05,55,20,3.09,US,1725243713
114,qusmuryn,52.4503,64.6311,9.34,68,9,2.66,KZ,1725243713
115,qaqortoq,60.7167,-46.0333,3.19,68,4,0.82,GL,1725243713
116,luganville,-15.5333,167.1667,26.84,62,0,7.01,VU,1725243714
117,nur-sultan,51.1801,71.446,6.97,93,75,3.0,KZ,1725243714
118,shar'ya,58.3686,45.5144,12.3,91,20,1.21,RU,1725243714
119,wamba,8.9333,8.6,21.65,93,100,1.47,NG,1725243714
120,khandyga,62.6667,135.6,8.89,94,100,1.5,RU,1725243714
121,malango,-2.9627,119.9001,25.35,70,94,1.73,ID,1725243714
122,montagu,-40.7667,144.9667,9.12,68,84,11.68,AU,1725243714
123,sinabang,2.4803,96.3801,28.37,74,100,1.08,ID,1725243714
124,massawa,15.6097,39.45,31.78,59,40,1.09,ER,1725243714
125,port mathurin,-19.6833,63.4167,21.61,78,6,9.86,MU,1725243714
126,igarka,67.4667,86.5833,6.89,70,100,2.19,RU,1725243714
127,yemva,62.59,50.8594,14.84,98,100,2.66,RU,1725243714
128,georgetown,5.4112,100.3354,28.96,79,20,1.54,MY,1725243506
129,carnarvon,-24.8667,113.6333,22.8,35,0,0.96,AU,1725243715
130,lionel town,17.8101,-77.2406,27.15,85,43,2.72,JM,1725243715
131,kalocsa,46.5264,18.9858,19.58,49,11,2.45,HU,1725243715
132,puerto baquerizo moreno,-0.9,-89.6,19.63,78,64,4.47,EC,1725243715
133,ambon,-3.6954,128.1814,26.08,94,40,2.06,ID,1725243715
134,pandan,14.0453,124.1694,28.75,76,95,7.7,PH,1725243715
135,atafu village,-8.5421,-172.5159,27.92,76,9,8.97,TK,1725243715
136,labrador city,52.9463,-66.9114,10.95,86,100,9.39,CA,1725243610
137,sadovoye,47.7764,44.5089,21.96,28,59,7.71,RU,1725243715
138,salinopolis,-0.6136,-47.3561,26.3,81,83,4.83,BR,1725243497
139,strenci,57.6257,25.6854,8.42,86,7,1.84,LV,1725243716
140,anadyr,64.75,177.4833,12.28,71,0,8.0,RU,1725243716
141,utrik,11.2278,169.8474,28.5,75,4,3.98,MH,1725243716
142,nova sintra,14.8667,-24.7167,26.36,88,100,7.16,CV,1725243716
143,sal rei,16.1833,-22.9167,25.46,80,100,5.59,CV,1725243716
144,san patricio,28.017,-97.5169,29.97,63,99,2.92,US,1725243716
145,watford city,47.8022,-103.2832,20.25,42,0,4.12,US,1725243716
146,novyy urengoy,66.0833,76.6333,7.76,92,100,4.82,RU,1725243716
147,kibakwe,-6.7167,36.3667,15.04,82,7,1.56,TZ,1725243716
148,tura,25.5198,90.2201,27.37,77,61,0.33,IN,1725243716
149,tequila,20.8833,-103.8333,20.99,87,96,1.24,MX,1725243716
150,alice springs,-23.7,133.8833,26.75,19,5,8.23,AU,1725243716
151,cockburn town,21.4612,-71.1419,29.06,79,0,8.75,TC,1725243561
152,magdagachi,53.45,125.8,18.57,42,5,3.98,RU,1725243717
153,kolwezi,-10.7148,25.4667,14.53,67,2,4.77,CD,1725243717
154,talcahuano,-36.7167,-73.1167,9.82,100,100,7.2,CL,1725243717
155,drouin,-38.1333,145.85,11.6,90,100,6.39,AU,1725243717
156,east london,-33.0153,27.9116,15.33,77,11,2.25,ZA,1725243717
157,longyearbyen,78.2186,15.6401,5.91,100,75,0.0,SJ,1725243717
158,murgeni,46.2044,28.0197,18.67,56,8,3.5,RO,1725243717
159,constantia,44.1833,28.65,18.38,77,1,3.88,RO,1725243717
160,vorgashor,67.5833,63.95,7.5,97,100,7.27,RU,1725243717
161,kourou,5.1552,-52.6478,26.04,88,58,2.53,GF,1725243717
162,nagqu,31.5,92.0,10.27,66,90,2.49,CN,1725243717
163,nieuw amsterdam,5.8833,-55.0833,26.22,87,61,3.08,SR,1725243717
164,afaahiti,-17.75,-149.2833,22.6,75,96,12.25,PF,1725243717
165,soto la marina,23.7667,-98.2167,27.45,80,97,2.43,MX,1725243719
166,vicuna,-30.0319,-70.7081,24.07,33,7,0.45,CL,1725243719
167,birjand,32.8663,59.2211,19.26,26,0,5.14,IR,1725243719
168,hirara,24.8,125.2833,31.15,58,20,1.54,JP,1725243719
169,sisimiut,66.9395,-53.6735,2.51,76,69,1.16,GL,1725243719
170,sligo,54.2697,-8.4694,14.39,97,100,1.46,IE,1725243719
171,ola,59.5833,151.2833,10.88,95,100,6.1,RU,1725243719
172,merritt island,28.5392,-80.672,27.22,89,0,2.57,US,1725243719
173,enkoping,59.6361,17.0777,13.23,91,100,2.64,SE,1725243719
174,castillos,-34.1667,-53.8333,12.25,93,100,4.81,UY,1725243720
175,pisco,-13.7,-76.2167,16.03,82,0,5.66,PE,1725243720
176,cooma,-36.2333,149.1333,7.82,48,18,10.71,AU,1725243720
177,ust-nera,64.5667,143.2,6.47,95,100,4.34,RU,1725243720
178,barra de santo antonio,-9.4047,-35.5072,23.78,73,26,6.35,BR,1725243720
179,porto murtinho,-21.6989,-57.8825,19.2,44,2,2.3,BR,1725243720
180,maydanshakhr,34.3956,68.8662,19.9,39,83,0.7,AF,1725243720
181,lihue,21.9789,-159.3672,28.77,72,20,5.14,US,1725243720
182,vila velha,-20.3297,-40.2925,22.19,84,0,5.66,BR,1725243720
183,susuman,62.7833,148.1667,9.57,85,100,4.42,RU,1725243721
184,katsuura,35.1333,140.3,27.72,84,75,8.97,JP,1725243721
185,arrifes,37.7667,-25.7,21.14,64,20,4.12,PT,1725243721
186,bereket,39.2446,55.5154,23.78,23,0,8.23,TM,1725243721
187,abu jibeha,11.4562,31.2285,19.86,98,100,1.22,SD,1725243611
188,chul'man,56.8479,124.9104,6.83,87,100,3.49,RU,1725243721
189,pangody,65.85,74.4859,6.68,89,100,4.98,RU,1725243721
190,hawaiian paradise park,19.5933,-154.9731,27.73,80,75,4.63,US,1725243721
191,santa elena de uairen,4.6167,-61.1333,19.21,86,71,0.49,VE,1725243721
192,bishkul,54.7803,69.1033,7.93,78,60,5.07,KZ,1725243721
193,kaka,37.3482,59.6143,21.63,26,0,1.5,TM,1725243721
194,lorengau,-2.0226,147.2712,27.45,83,100,3.93,PG,1725243722
195,college,64.8569,-147.8028,15.04,55,75,1.54,US,1725243723
196,port douglas,-16.4833,145.4667,25.06,62,0,4.19,AU,1725243723
197,egilsstadir,65.2653,-14.3948,12.95,76,75,7.72,IS,1725243723
198,madras,13.0878,80.2785,28.92,79,75,2.57,IN,1725243671
199,bereznik,62.8551,42.7072,14.7,98,30,2.04,RU,1725243723
